time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
2019-09-02,178.05,181.0,170.02,170.74,294627.31,51446380.45,force_direct,
2019-09-03,178.75,183.0,174.09,178.05,327857.85,58621819.36,force_direct,
2019-09-04,174.72,180.14,173.0,178.75,286226.25,50629395.49,force_direct,
2019-09-05,173.75,176.19,168.1,174.72,232753.84,40247496.56,force_direct,
2019-09-06,169.08,177.87,165.0,173.75,315822.38,54567316.61,force_direct,
2019-09-07,177.62,180.8,168.3,169.08,253831.23,44282963.31,force_direct,
2019-09-08,181.19,184.18,176.13,177.62,290083.48,52424648.72,force_direct,
2019-09-09,180.54,185.38,176.01,181.19,273729.95,49340881.23,force_direct,
2019-09-10,179.81,184.36,177.0,180.54,238387.51,43067898.91,force_direct,
2019-09-11,178.28,182.8,173.0,179.81,278555.47,49657474.98,force_direct,
2019-09-12,180.72,182.38,176.62,178.28,203543.14,36419973.23,force_direct,
2019-09-13,180.95,181.38,177.54,180.72,264422.54,47382425.19,force_direct,
2019-09-14,188.13,188.79,179.75,180.95,279371.83,51424561.39,force_direct,
2019-09-15,189.03,190.45,185.76,188.13,288928.61,54373471.39,force_direct,
2019-09-16,197.22,199.44,188.3,189.03,551006.82,106449156.03,force_direct,
2019-09-17,207.84,215.13,195.74,197.22,715863.23,145945114.87,force_direct,
2019-09-18,210.21,217.27,207.66,207.84,539028.51,114703107.27,force_direct,
2019-09-19,220.24,223.94,202.3,210.21,844358.82,179595728.81,force_direct,
2019-09-20,218.03,221.54,212.05,220.24,437804.13,95069640.62,force_direct,
2019-09-21,215.05,221.5,213.2,218.03,417891.52,90638548.24,force_direct,
2019-09-22,211.2,215.61,206.1,215.05,445388.95,93662351.5,force_direct,
2019-09-23,201.29,211.68,198.65,211.2,392437.07,80922890.46,force_direct,
2019-09-24,165.81,202.98,150.03,201.29,1478218.83,263412071.53,force_direct,
2019-09-25,169.96,174.85,161.88,165.81,879001.46,147619414.14,force_direct,
2019-09-26,165.92,171.01,152.11,169.96,779942.17,127948136.27,force_direct,
2019-09-27,173.79,176.72,161.03,165.92,634932.97,106461443.9,force_direct,
2019-09-28,173.49,175.49,168.0,173.79,521775.47,90120971.17,force_direct,
2019-09-29,169.24,174.5,164.12,173.49,410855.12,69327213.65,force_direct,
2019-09-30,180.85,181.24,165.01,169.24,580295.4,100443187.77,force_direct,
2019-10-01,175.66,185.53,173.19,180.85,609972.53,109365005.36,force_direct,
2019-10-02,180.24,181.29,173.65,175.66,348268.12,61530973.8,force_direct,
2019-10-03,174.69,180.72,169.55,180.24,354756.78,62001237.48,force_direct,
2019-10-04,175.55,178.98,170.74,174.69,333897.64,58470302.14,force_direct,
2019-10-05,176.25,176.71,172.02,175.55,278488.62,48647162.44,force_direct,
2019-10-06,170.1,177.04,167.68,176.25,314932.4,54241930.13,force_direct,
2019-10-07,179.85,182.32,168.68,170.1,496523.48,87617964.57,force_direct,
2019-10-08,180.6,184.87,177.0,179.85,400832.38,72432729.98,force_direct,
2019-10-09,192.62,195.53,178.96,180.6,562506.82,105551736.48,force_direct,
2019-10-10,191.14,194.2,186.88,192.62,436588.58,83367952.39,force_direct,
2019-10-11,180.72,196.65,179.41,191.14,621693.63,115872479.77,force_direct,
2019-10-12,179.68,184.64,177.59,180.72,290415.22,52895345.38,force_direct,
2019-10-13,180.99,184.95,178.52,179.68,247589.23,45067340.42,force_direct,
2019-10-14,186.72,187.54,180.43,180.99,279732.85,51494870.28,force_direct,
2019-10-15,180.49,188.37,175.96,186.72,405466.38,73998014.45,force_direct,
2019-10-16,174.47,181.44,171.81,180.49,347764.93,61180262.78,force_direct,
2019-10-17,177.16,178.96,172.61,174.47,298795.82,52578052.94,force_direct,
2019-10-18,172.74,177.44,168.66,177.16,319602.49,55285684.61,force_direct,
2019-10-19,171.79,174.98,169.44,172.74,296918.73,51269466.04,force_direct,
2019-10-20,175.22,176.88,169.21,171.79,299141.07,51654250.07,force_direct,
2019-10-21,173.98,177.9,171.59,175.22,270608.51,47204344.24,force_direct,
2019-10-22,171.2,175.04,170.3,173.98,255429.42,44176123.21,force_direct,
2019-10-23,162.35,171.49,153.45,171.2,746955.1,121126428.23,force_direct,
2019-10-24,160.38,163.72,158.72,162.35,387310.84,62419095.11,force_direct,
2019-10-25,181.5,187.78,160.25,160.38,904832.86,157496890.72,force_direct,
2019-10-26,179.49,197.74,173.8,181.5,1211737.44,222906937.79,force_direct,
2019-10-27,183.75,188.7,176.22,179.49,724423.41,132329593.39,force_direct,
2019-10-28,181.72,189.48,180.35,183.75,582179.45,106933716.67,force_direct,
2019-10-29,190.46,192.74,181.26,181.72,529964.51,99024969.84,force_direct,
2019-10-30,183.13,191.71,179.28,190.46,537770.43,99508269.89,force_direct,
